Ensemble_ID,Intensity,Intensity_Rank,Density,Density_Rank,Energy,Energy_Rank,Exp_Level,Exp_Rank,Avg_Count,Count_Rank,Avg_TPM,TPM_Rank
ENSMUSG00000024552,117.37587780553534,15714.0,0.00058151,13873.0,0.0682552,14144.0,2915.8099416968166,16434.0,13.26565625,4750.0,0.9638243125,5145.0
ENSMUSG00000070526,159.85136345689287,917.0,0.000434308,14422.0,0.0694247,14101.0,7296.096841876763,4364.0,6.7424881249999995,5842.0,0.274542225,7887.0
ENSMUSG00000027048,117.42422099413415,15703.0,0.00313051,9812.0,0.367597,10066.0,3390.2217950852387,15612.0,0.0,15356.0,0.0,15356.0
ENSMUSG00000030839,135.80725560786485,7789.0,0.00326554,9704.0,0.443484,9562.0,5386.148745433545,11161.0,9.419494320312502,5290.0,2.0738229945625,3792.0
ENSMUSG00000022822,145.14481213560785,3425.0,0.012108,5799.0,1.75741,5548.0,7326.7344134928135,4277.0,35.659158961875,3386.0,0.63457021115625,6053.0
ENSMUSG00000025609,152.56413213102405,1763.0,0.00130749,12133.0,0.199476,11726.0,6403.900408456408,7382.0,50.2741875,2997.0,14.879965,1381.0
ENSMUSG00000001751,130.56532131232026,10984.0,0.00551723,8127.0,0.720359,8107.0,5772.345852841403,9786.0,2.8943423137842568,7444.0,0.42557864396187683,6933.0
ENSMUSG00000030834,127.69661921019423,12482.0,0.000782829,13287.0,0.0999651,13336.0,5697.340934902148,10078.0,0.0,15356.0,0.0,15356.0
ENSMUSG00000038717,135.0781157533436,8241.0,0.0144968,5274.0,1.95821,5237.0,7862.2192359199,2982.0,0.120116875,12495.0,0.027823125,11910.0
ENSMUSG00000023143,137.20763526955264,6965.0,0.000217421,15489.0,0.0298318,15450.0,3862.2447513248326,14761.0,2.581708125,7672.0,0.756248625,5648.0
ENSMUSG00000029381,151.7565153394624,1907.0,0.0520885,1753.0,7.90477,1630.0,8599.328655743835,1807.0,1.1243020625000002,9307.0,0.14715174375,9275.0
ENSMUSG00000041688,151.99725810018626,1858.0,0.00368698,9346.0,0.560411,8854.0,7147.667376343317,4798.0,2.6253154098125,7630.0,0.035059407803125,11689.0
ENSMUSG00000042834,137.83193204347134,6581.0,0.00564874,8064.0,0.778575,7863.0,7663.294755621924,3416.0,323.58458750000005,1194.0,15.758959375000002,1328.0
ENSMUSG00000024369,128.68849144065464,11989.0,0.0221643,4022.0,2.8523,4157.0,5206.205209735073,11713.0,130.35508491264156,2007.0,8.989052783969738,1862.0
ENSMUSG00000015290,133.59021560963308,9162.0,0.0451717,2080.0,6.03449,2203.0,5976.072480742665,9021.0,11.7236425,4953.0,1.37304775,4462.0
ENSMUSG00000033029,141.39530443222773,4726.0,0.0119086,5852.0,1.68382,5676.0,6014.176692852316,8864.0,5.4289946874999995,6255.0,1.9596891250000001,3875.0
ENSMUSG00000006058,137.16206234303442,6987.0,0.0143787,5303.0,1.97222,5219.0,6422.128147139241,7318.0,0.0,15356.0,0.0,15356.0
ENSMUSG00000007050,132.66785536815644,9731.0,0.00130765,12131.0,0.173483,12061.0,2529.929582167965,16918.0,0.0,15356.0,0.0,15356.0
ENSMUSG00000007030,161.62809294249357,776.0,0.0153127,5114.0,2.47496,4566.0,10848.381357107108,375.0,9.54187125,5273.0,0.22693423125,8334.0
ENSMUSG00000029213,115.80823754859465,16010.0,0.00345403,9548.0,0.400005,9835.0,4103.49838266789,14322.0,21.335144375,4077.0,13.98804,1431.0
ENSMUSG00000108733,131.34779865246955,10520.0,0.00506453,8368.0,0.665216,8319.0,6192.284899238798,8185.0,127.40625,2028.0,2.6252993750000004,3457.0
ENSMUSG00000026563,135.22582845950274,8127.0,0.00389816,9177.0,0.527132,9059.0,6943.205719503666,5456.0,0.603893125,10379.0,0.29474875,7726.0
ENSMUSG00000098377,146.1754229741763,3142.0,0.0607565,1405.0,8.88112,1395.0,7641.120253155823,3467.0,5.5279313125,6225.0,0.16308268124999997,9071.0
ENSMUSG00000003527,131.02075690681846,10727.0,0.0209068,4202.0,2.73923,4257.0,7620.793600991007,3520.0,659.623625,697.0,24.958650000000002,977.0
ENSMUSG00000032388,135.58129582339856,7916.0,0.00821722,6914.0,1.1141,6821.0,7806.019584708047,3091.0,0.421441875,10935.0,0.070793125,10672.0
ENSMUSG00000041506,134.83223442063687,8403.0,0.00976437,6440.0,1.31655,6347.0,7756.951541263825,3214.0,2.625035625,7631.0,0.3922218125,7106.0
ENSMUSG00000052488,151.22652529427623,1983.0,0.0804859,788.0,12.1716,801.0,10808.553948696093,383.0,0.37857937500000005,11085.0,0.0539603125,11117.0
ENSMUSG00000096145,128.89297118371627,11879.0,0.00454312,8703.0,0.585576,8717.0,5054.294842296108,12119.0,2.113668225,8096.0,1.12614033375,4845.0
