id,section_data_set_id,structure_id,sum_pixels,sum_expressing_pixels,sum_pixel_intensity,sum_expressing_pixel_intensity,expression_density,expression_energy,voxel_energy_mean,voxel_energy_cv,entrez_id
461123414,81671342,651,1140510,26538.2,40210400,2571610,0.0232687,2.25479,1.77231,1.24785,11444
461201831,81790724,651,1223920,13492.7,40150400,1615980,0.0110242,1.32033,1.32033,0.290063,11444
429521063,70593133,651,920181,5823.11,45738300,794285,0.00632822,0.863184,0.832165,1.62484,11447
452717487,74988680,651,2587710,21462.4,67982300,2355420,0.00829399,0.910234,0.910234,1.07884,11447
450420306,74634819,651,1293850,408.091,55317300,72832.9,0.000315408,0.0562915,0.0562915,1.63315,11448
455384097,75888738,651,2587710,8805.53,74357400,1000900,0.00340283,0.38679,0.38679,0.617056,11448
429519465,70593134,651,825042,3186.84,33384100,450124,0.00386264,0.545577,0.563182,0.850227,11449
454172780,75551466,651,1953700,3345.81,62202700,396154,0.00171255,0.202771,0.221027,0.637886,11449
409798857,68545033,651,714594,25958.6,31250800,3565480,0.0363263,4.98952,4.8816,0.469636,11450
418882334,69514678,651,885328,63.3082,33770000,7964.58,7.15E-05,0.00899619,0.00952298,1.79779,11451
398017234,60,651,2587710,253084,104153000,35609100,0.0978025,13.7609,13.7609,0.27585,11459
398018537,61,651,1503670,188549,65796200,28089400,0.125393,18.6806,18.6806,0.150508,11459
419046962,69514684,651,1291290,185525,108327000,29172400,0.143674,22.5916,22.5859,0.0845524,11461
452349003,74881516,651,2587710,457599,164175000,74740900,0.176836,28.8831,28.8831,0.127003,11461
460786942,81600126,651,1398760,231564,87938500,37402600,0.165549,26.7398,26.7398,0.118702,11461
398027650,62,651,2377890,241125,87566300,33229400,0.101403,13.9743,13.9743,0.171028,11464
398033717,63,651,1699490,188046,69588000,25281000,0.110648,14.8756,14.7571,0.122026,11464
405809214,67792203,651,2133110,158102,121393000,24139400,0.0741182,11.3165,11.3165,0.419499,11465
458063703,77620463,651,1038830,89549,50507500,13182400,0.0862019,12.6897,12.8509,0.263148,11468
425471111,70228699,651,1223920,1657.44,46707400,212002,0.00135421,0.173216,0.173216,1.56753,11470
418878137,69514690,651,1083930,104.89,41805200,12510.4,9.68E-05,0.0115417,0.0137682,1.56899,11471
430874914,70724523,651,1224350,340.732,30012500,43810.9,0.000278296,0.0357829,0.0368773,2.17613,11472
418881413,69514696,651,1259470,22661.5,77505300,3088070,0.0179929,2.45188,2.50669,0.495211,11474
411332680,68743877,651,1503670,211524,108212000,33304300,0.140672,22.1487,22.1487,0.174872,11475
435146390,71213256,651,1577240,113.599,69774900,15884.5,7.20E-05,0.0100711,0.0104398,1.48959,11475
440902476,71919092,651,1293850,135092,94395000,22608700,0.104411,17.474,17.474,0.260934,11475
418878088,69514714,651,1503670,12121.5,89534600,1554850,0.00806129,1.03404,1.03404,0.518126,11477
419048283,69514720,651,1398550,25739.6,72655100,3298890,0.0184045,2.35879,2.38279,0.518762,11479
449041792,74509464,651,1245780,2413.13,67535000,328311,0.00193704,0.263537,0.294198,2.22769,11480
418878297,69514732,651,1503670,491.034,72354500,60272.7,0.000326558,0.0400838,0.0400838,1.17358,11481
457516843,77454605,651,1293850,9190.04,35397700,1118900,0.00710285,0.864781,0.864781,0.271426,11482
459153875,79488929,651,2132820,10269.4,50899000,1144120,0.00481495,0.536436,0.55967,0.46227,11482
409134529,68444720,651,1398760,848.142,37783800,100375,0.000606353,0.0717601,0.0717601,1.31809,11484
457356261,77371803,651,2587710,52903.8,73119100,6690860,0.0204443,2.58563,2.58563,0.38584,11484
458268157,77793157,651,1166820,30602.8,42292500,4270970,0.0262275,3.66034,3.56598,0.199243,11484
428615247,70528192,651,798062,16.2866,29014500,2419.96,2.04E-05,0.0030323,0.00363771,2.48317,11486
418874218,69514738,651,1415580,22771.5,78268500,2901160,0.0160863,2.04945,2.02468,0.417693,11487
422958756,69837407,651,1859550,126107,109708000,18392700,0.0678155,9.89091,9.90326,0.201464,11488
431923726,70795304,651,1311600,3298.61,62287300,469872,0.00251495,0.358243,0.322769,1.35378,11488
455774052,75988236,651,800551,1557.87,19175600,177072,0.00194599,0.221187,0.231884,0.373401,11489
403658520,392924,651,1398760,87875.9,95351700,13001500,0.0628242,9.29503,9.29503,0.326925,11490
455740084,75988237,651,1253970,5232.43,36312300,605568,0.0041727,0.482921,0.489281,0.63939,11491
437388679,71495632,651,1409150,5336.43,68838400,784846,0.00378698,0.556963,0.559952,0.787241,11492
447731727,74272054,651,2587710,10150.3,92337700,1439020,0.00392251,0.556099,0.556099,2.37169,11492
418886451,69514762,651,1373740,172.792,53907300,22107.9,0.000125782,0.0160932,0.0151513,1.04053,11495
455262747,75860980,651,958417,5518.44,31381700,624239,0.00575787,0.651323,0.663773,0.634478,11497
418881376,69514774,651,1747410,8080.61,71531400,1016340,0.00462434,0.581627,0.579709,0.760773,11498
455771452,75988238,651,1289610,2811.2,37259600,339031,0.00217988,0.262894,0.264859,0.760048,11499
456179358,76003378,651,1398730,4149.69,38881400,472446,0.00296676,0.337769,0.337765,0.985547,11500
409497480,68498992,651,1408990,0.142031,59546200,18.3728,1.01E-07,1.30E-05,9.88E-06,6.057,11501
456180220,76003388,651,1150800,16742.4,35455000,1961850,0.0145485,1.70477,1.58456,0.558383,11502
398034684,69,651,2587710,5688.77,88305600,701646,0.00219838,0.271146,0.271146,0.904371,11504
398034737,70,651,1111410,863.238,25538300,95462.1,0.000776706,0.0858928,0.0864259,1.68559,11504
398263999,81,651,2587710,3325.41,56253700,365395,0.00128508,0.141204,0.141204,0.574235,11512
398301162,82,651,1433730,5010.87,33732000,549080,0.00349499,0.382974,0.382974,0.505104,11512
401304428,2017,651,1993230,5189.12,76626800,589075,0.00260337,0.295537,0.295537,0.301054,11513
401319924,2018,651,1503670,1103.2,47457700,132768,0.00073367,0.0882964,0.0882964,0.380966,11513
459194078,79488953,651,2587710,19120.9,67528300,2149870,0.00738912,0.8308,0.8308,0.324012,11513
449514493,74514237,651,1398760,5664.5,46832700,745503,0.00404966,0.532974,0.532974,0.586118,11514
457148543,77280540,651,2587710,22303,68698200,2761430,0.00861883,1.06713,1.06713,0.219412,11514
398297701,84,651,1268020,16672.3,30874500,2020030,0.0131483,1.59306,1.63034,0.403802,11515
398301677,83,651,1748450,9643.51,43007400,1102910,0.00551546,0.630792,0.630792,0.628426,11515
140136621,100082288,651,1197650,16373.1,39394600,2975190,0.013671,2.48418,2.59127,0.522832,11516
143949894,100084774,651,1367550,31954,50575900,6089810,0.0233658,4.45307,4.33731,1.13705,11516
428386518,70523740,651,1078570,35180.6,53916300,6072260,0.0326179,5.62994,5.61819,0.968134,11516
449287652,74511882,651,2587710,156530,132177000,28459700,0.0604899,10.9981,10.9981,0.580721,11516
