id,section_data_set_id,structure_id,sum_pixels,sum_expressing_pixels,sum_pixel_intensity,sum_expressing_pixel_intensity,expression_density,expression_energy,voxel_energy_mean,voxel_energy_cv,entrez_id
259742541,79122759,674,34969,58.9884,831042,6102.71,0.00168688,0.174518,0,0,11444
259754273,79122633,674,34969,60.2438,690516,5707.41,0.00172278,0.163213,0,0,11444
261825794,79787945,674,34969,1090.57,1561570,144893,0.0311868,4.14348,0,0,11444
261832001,79797920,674,34969,1056.32,1231140,126918,0.0302073,3.62945,0,0,11444
261832740,79797918,674,34969,775.138,1324180,98485.7,0.0221664,2.81637,0,0,11444
261844208,79797914,674,34969,560.739,1345460,71771.2,0.0160353,2.05242,0,0,11444
261844315,79797916,674,34969,292.466,1369580,39211.1,0.00836357,1.12131,0,0,11444
262131205,80212624,674,34969,575.97,1041340,70869.5,0.0164709,2.02664,0,0,11444
262156002,80212622,674,34969,917.933,1158880,114614,0.0262499,3.27758,0,0,11444
401473758,2098,674,34969,538.498,2336420,69730.1,0.0153993,1.99406,0,0,11444
401614072,2097,674,69938,1755.13,4305160,253496,0.0250955,3.62458,3.62458,0.461187,11444
461123676,81671342,674,20975.8,252.953,613771,14134.1,0.0120593,0.673827,0,0,11444
461202135,81790724,674,34969,297.985,1098670,38261.1,0.00852141,1.09414,0,0,11444
429521228,70593133,674,32094.2,216.471,1800930,28970.3,0.00674487,0.902665,0,0,11447
452717701,74988680,674,69938,262.525,1997930,27895.3,0.00375368,0.398858,0.398858,0.0866627,11447
450420528,74634819,674,34969,11.3773,1777570,1689.55,0.000325354,0.0483156,0,0,11448
455384132,75888738,674,69938,229.825,2127740,32281.7,0.00328612,0.461576,0.461576,0.569727,11448
429519874,70593134,674,31488.2,1.39114,1192520,193.478,4.41797e-05,0.00614448,0,0,11449
454173074,75551466,674,29421.8,37.6666,919346,4299.29,0.00128023,0.146126,0,0,11449
409799075,68545033,674,21696,1040.86,1110500,143860,0.0479749,6.6307,0,0,11450
418882579,69514678,674,34759.1,0.449827,1474260,54.126,1.29413e-05,0.00155717,0,0,11451
398017496,60,674,69938,4387.83,2201350,630545,0.0627388,9.01578,9.01578,0.153766,11459
